step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
145,0.3415,-0.1000,0.0177,0.5749,-0.0174,-0.1000,-0.1000,0.5675,0.1286,-0.1000
146,0.2937,-0.1000,-0.0083,0.5744,-0.0166,-0.1000,-0.1000,0.5425,0.1078,-0.1000
147,0.2702,-0.1000,-0.0345,0.5741,-0.0156,-0.1000,-0.1000,0.5180,0.0880,-0.1000
148,0.2461,-0.1000,-0.0610,0.5741,-0.0143,-0.1000,-0.1000,0.4939,0.0692,-0.1000
149,0.2214,-0.1000,-0.0878,0.5744,-0.0128,-0.1000,-0.1000,0.4703,0.0514,-0.1000
150,0.1962,-0.1000,-0.1000,0.5750,-0.0111,-0.1000,-0.1000,0.4471,0.0346,-0.1000
151,0.1705,-0.1000,-0.1000,0.5760,-0.0090,-0.1000,-0.1000,0.4244,0.0189,-0.1000
152,0.1442,-0.1000,-0.1000,0.5774,-0.0066,-0.1000,-0.1000,0.4020,0.0041,-0.1000
153,0.1175,-0.1000,-0.1000,0.5791,-0.0038,-0.1000,-0.1000,0.3800,-0.0096,-0.1000
154,0.0903,-0.1000,-0.1000,0.5813,-0.0007,-0.1000,-0.1000,0.3583,-0.0223,-0.1000
155,0.0627,-0.1000,-0.1000,0.5838,0.0028,-0.1000,-0.1000,0.3369,-0.0339,-0.1000
156,0.0346,-0.1000,-0.1000,0.5868,0.0067,-0.1000,-0.1000,0.3158,-0.0445,-0.1000
157,0.0062,-0.1000,-0.1000,0.5903,0.0110,-0.1000,-0.1000,0.2983,-0.0540,-0.1000
158,-0.0227,-0.1000,-0.1000,0.5943,0.0158,-0.1000,-0.1000,0.2799,-0.0624,-0.1000
159,-0.0519,-0.1000,-0.1000,0.5987,0.0211,-0.1000,-0.1000,0.2453,-0.0698,-0.1000
160,-0.0814,-0.1000,-0.1000,0.6036,0.0269,-0.1000,-0.1000,0.1111,-0.0761,-0.1000
161,-0.1000,-0.1000,-0.1000,0.6091,0.0331,-0.1000,-0.1000,-9.8228,-0.0813,-0.1000
162,-0.1000,-0.1000,-0.1000,0.6150,0.0399,-0.1000,-0.1000,-9.8562,-0.0855,-0.1000
163,-0.1000,-0.1000,-0.1000,0.6215,0.0473,-0.1000,-0.1000,0.0107,-0.0886,-0.1000
164,-0.1000,-0.1000,-0.1000,0.6285,0.0552,-0.1000,-0.1000,0.0780,-0.0905,-0.1000
165,-0.1000,-0.1000,-0.1000,0.6361,0.0636,-0.1000,-0.1000,0.0457,-0.0914,-0.1000
166,-0.1000,-0.1000,-0.1000,0.6442,0.0727,-0.1000,-0.1000,0.0137,-0.0913,-0.1000
167,-0.1000,-0.1000,-0.1000,0.6529,0.0824,-0.1000,-0.1000,-0.0179,-0.0900,-0.1000
168,-0.1000,-0.1000,-0.1000,0.6621,0.0926,-0.1000,-0.1000,-0.0491,-0.0876,-0.1000
169,-0.1000,-0.1000,-0.1000,0.6718,0.1036,-0.1000,-0.1000,-0.0800,-0.0842,-0.1000
170,-0.1000,-0.1000,-0.1000,0.6822,0.1151,-0.1000,-0.1000,-0.1000,-0.0797,-0.1000
171,-0.1000,-0.1000,-0.1000,0.6930,0.1274,-0.1000,-0.1000,-0.1000,-0.0741,-0.0675
172,-0.1000,-0.1000,-0.1000,0.9000,0.1402,-0.1000,-0.1000,-0.1000,-0.1000,-0.0310
173,-0.1000,-0.0937,-0.1000,0.9000,0.1538,-0.1000,-0.1000,-0.1000,-0.1000,0.0063
174,-0.1000,-0.0846,-0.1000,0.9000,0.1681,-0.1000,-0.1000,-0.1000,-0.1000,0.0442
175,-0.1000,-0.0749,-0.1000,0.9000,0.1831,-0.1000,-0.1000,-0.1000,-0.1000,0.0829
176,-0.1000,-0.0648,-0.1000,0.9000,0.1987,-0.1000,-0.1000,-0.1000,-0.1000,0.1223
177,-0.1000,-0.0541,-0.1000,0.9000,0.2151,-0.1000,-0.1000,-0.1000,-0.1000,0.1623
178,-0.1000,-0.0430,-0.1000,0.9000,0.2323,-0.1000,-0.1000,-0.1000,-0.1000,0.2030
179,-0.1000,-0.0313,-0.1000,0.9000,0.2501,-0.1000,-0.1000,-0.1000,-0.1000,0.2443
180,-0.1000,-0.0191,-0.1000,0.9000,0.2688,-0.1000,-0.1000,-0.1000,-0.1000,0.2863
181,-0.1000,-0.0064,-0.1000,0.9000,0.2881,-0.1000,-0.1000,-0.1000,-0.1000,0.3722
