step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
86,0.1775,0.1805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
87,0.2404,0.1271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
88,0.3041,0.0738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
89,0.3684,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
90,0.5831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
91,0.7468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
92,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
93,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
94,0.7543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
95,0.5856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
96,0.3663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
97,0.2980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
98,0.2294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
99,0.1605,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,0.0000,-0.1000,0.0500
100,0.0913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
101,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
