step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
231,1.0828,1.0828,127.3898,127.3898
232,1.0828,1.0828,128.4726,128.4726
233,0.8812,0.8812,129.3538,129.3538
234,0.8726,0.8726,130.2264,130.2264
235,0.8640,0.8640,131.0904,131.0904
236,0.8554,0.8554,131.9459,131.9459
237,0.8468,0.8468,132.7927,132.7927
238,0.8382,0.8382,133.6309,133.6309
239,0.8287,0.8287,134.4596,134.4596
240,0.8198,0.8198,135.2794,135.2794
241,0.8109,0.8109,136.0903,136.0903
242,0.8020,0.8020,136.8923,136.8923
243,0.7931,0.7931,137.6854,137.6854
244,0.7842,0.7842,138.4695,138.4695
245,0.7753,0.7753,139.2448,139.2448
246,0.7309,0.7309,139.9758,139.9758
247,0.7102,0.7102,140.6860,140.6860
248,0.6895,0.6895,141.3755,141.3755
249,0.6688,0.6688,142.0443,142.0443
250,0.6481,0.6481,142.6924,142.6924
251,0.6274,0.6274,143.3198,143.3198
252,0.6067,0.6067,143.9265,143.9265
253,0.5860,0.5860,144.5125,144.5125
254,0.5653,0.5653,145.0778,145.0778
255,0.5446,0.5446,145.6223,145.6223
256,0.5238,0.5238,146.1461,146.1461
257,0.5031,0.5031,146.6493,146.6493
258,0.4824,0.4824,147.1317,147.1317
259,0.4617,0.4617,147.5934,147.5934
260,0.3515,0.3515,147.9450,147.9450
261,0.3433,0.3433,148.2882,148.2882
262,0.3350,0.3350,148.6232,148.6232
263,0.3267,0.3267,148.9499,148.9499
264,0.3184,0.3184,149.2683,149.2683
265,0.3101,0.3101,149.5784,149.5784
266,0.3018,0.3018,149.8803,149.8803
267,0.2936,0.2936,150.1738,150.1738
268,0.2853,0.2853,150.4591,150.4591
269,0.2770,0.2770,150.7361,150.7361
270,0.2687,0.2687,151.0048,151.0048
271,0.2604,0.2604,151.2652,151.2652
272,0.2521,0.2521,151.5173,151.5173
273,0.2439,0.2439,151.7612,151.7612
274,0.2356,0.2356,151.9968,151.9968
275,0.2273,0.2273,152.2241,152.2241
276,0.2190,0.2190,152.4431,152.4431
277,0.2107,0.2107,152.6538,152.6538
278,0.0736,0.0986,152.7274,152.7524
279,0.0480,0.0730,152.7754,152.8254
280,0.0965,0.1025,152.8719,152.9279
281,0.1352,0.1412,153.0071,153.0691
282,0.1831,0.1891,153.1903,153.2583
283,0.2402,0.2462,153.4304,153.5044
284,0.2682,0.2742,153.6986,153.7786
285,0.2821,0.2881,153.9807,154.0667
286,0.2961,0.3021,154.2768,154.3688
287,0.3100,0.3160,154.5868,154.6848
288,0.3240,0.3300,154.9108,155.0148
289,0.3379,0.3439,155.2487,155.3587
290,0.1263,0.1513,155.3750,155.5100
291,0.0751,0.1001,155.4501,155.6101
292,0.0496,0.0746,155.4997,155.6847
293,0.0981,0.1041,155.5978,155.7888
294,0.1368,0.1428,155.7345,155.9315
295,0.1847,0.1907,155.9192,156.1222
296,0.2417,0.2477,156.1609,156.3699
297,0.2697,0.2757,156.4306,156.6456
298,0.2837,0.2897,156.7143,156.9353
299,0.2976,0.3036,157.0119,157.2389
300,0.3116,0.3176,157.3235,157.5565
301,0.2995,0.3055,157.6230,157.8620
302,0.3091,0.3151,157.9321,158.1771
303,0.3187,0.3247,158.2508,158.5018
304,0.3283,0.3343,158.5792,158.8362
305,0.3380,0.3440,158.9171,159.1801
306,0.3476,0.3536,159.2647,159.5337
307,0.3021,0.3081,159.5668,159.8418
308,0.2474,0.2534,159.8142,160.0952
309,0.2447,0.2447,160.0588,160.3398
310,0.2359,0.2359,160.2947,160.5757
311,0.2272,0.2272,160.5219,160.8029
312,0.2184,0.2184,160.7403,161.0213
313,0.2097,0.2097,160.9500,161.2310
314,0.2009,0.2009,161.1509,161.4319
315,0.1921,0.1921,161.3430,161.6240
316,0.1534,0.1834,161.4964,161.8074
317,0.0186,0.1746,161.5150,161.9820
