step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
175,-0.0125,-0.0125,8.6838,9.2138
176,-0.0125,-0.0125,8.6714,9.2014
177,-0.0125,-0.0125,8.6589,9.1889
178,-0.0125,-0.0125,8.6464,9.1764
179,-0.0125,-0.0125,8.6340,9.1640
180,-0.0125,-0.0125,8.6215,9.1515
181,-0.0125,-0.0125,8.6090,9.1390
182,-0.0125,-0.0125,8.5966,9.1266
183,-0.0125,-0.0125,8.5841,9.1141
184,-0.0125,-0.0125,8.5717,9.1017
185,-0.0125,-0.0125,8.5592,9.0892
186,-0.0125,-0.0125,8.5467,9.0767
187,-0.0111,-0.0111,8.5357,9.0657
188,-0.0111,-0.0111,8.5246,9.0546
189,-0.0111,-0.0111,8.5135,9.0435
190,-0.0111,-0.0111,8.5024,9.0324
191,-0.0111,-0.0111,8.4914,9.0214
192,-0.0111,-0.0111,8.4803,9.0103
193,-0.0111,-0.0111,8.4692,8.9992
194,-0.0111,-0.0111,8.4581,8.9881
195,-0.0111,-0.0111,8.4471,8.9771
196,-0.0111,-0.0111,8.4360,8.9660
197,-0.0111,-0.0111,8.4249,8.9549
198,-0.0111,-0.0111,8.4138,8.9438
199,-0.0111,-0.0111,8.4028,8.9328
200,-0.0111,-0.0111,8.3917,8.9217
201,-0.0111,-0.0111,8.3806,8.9106
202,-0.0111,-0.0111,8.3696,8.8996
203,-0.0111,-0.0111,8.3585,8.8885
204,-0.0110,-0.0110,8.3475,8.8775
205,-0.0110,-0.0110,8.3365,8.8665
206,-0.0110,-0.0110,8.3254,8.8554
207,-0.0141,-0.0141,8.3113,8.8413
208,-0.0141,-0.0141,8.2972,8.8272
209,-0.0141,-0.0141,8.2830,8.8130
210,-0.0141,-0.0141,8.2689,8.7989
211,-0.0112,-0.0112,8.2577,8.7877
212,-0.0112,-0.0112,8.2465,8.7765
213,-0.0112,-0.0112,8.2352,8.7652
214,-0.0112,-0.0112,8.2240,8.7540
215,-0.0112,-0.0112,8.2128,8.7428
216,-0.0112,-0.0112,8.2016,8.7316
217,-0.0112,-0.0112,8.1904,8.7204
218,-0.0112,-0.0112,8.1791,8.7091
219,-0.0112,-0.0112,8.1679,8.6979
220,-0.0112,-0.0112,8.1567,8.6867
221,-0.0112,-0.0112,8.1455,8.6755
222,-0.0040,-0.0100,8.1415,8.6655
223,0.0032,-0.0028,8.1446,8.6626
224,0.0104,0.0044,8.1550,8.6670
225,0.0136,0.0076,8.1686,8.6746
226,0.0136,0.0076,8.1822,8.6822
227,0.0136,0.0076,8.1958,8.6898
228,0.0136,0.0076,8.2094,8.6974
229,0.0136,0.0076,8.2230,8.7050
230,0.0136,0.0076,8.2366,8.7126
231,0.0136,0.0076,8.2502,8.7202
232,0.0136,0.0076,8.2638,8.7278
233,0.0136,0.0136,8.2774,8.7414
234,0.0136,0.0136,8.2909,8.7549
235,0.0136,0.0136,8.3045,8.7685
236,0.0136,0.0136,8.3181,8.7821
237,0.0136,0.0136,8.3317,8.7957
238,0.0136,0.0136,8.3453,8.8093
239,0.0136,0.0136,8.3589,8.8229
240,0.0136,0.0136,8.3725,8.8365
241,0.0136,0.0136,8.3861,8.8501
242,0.0136,0.0136,8.3997,8.8637
243,0.0136,0.0136,8.4133,8.8773
244,0.0136,0.0136,8.4269,8.8909
245,0.0136,0.0136,8.4405,8.9045
246,0.0136,0.0136,8.4540,8.9180
247,0.0136,0.0136,8.4676,8.9316
248,0.0136,0.0136,8.4812,8.9452
249,0.0136,0.0136,8.4948,8.9588
250,0.0136,0.0136,8.5084,8.9724
251,0.0136,0.0136,8.5220,8.9860
252,0.0136,0.0136,8.5356,8.9996
253,0.0136,0.0136,8.5492,9.0132
254,0.0136,0.0136,8.5628,9.0268
255,0.0136,0.0136,8.5764,9.0404
256,0.0136,0.0136,8.5900,9.0540
257,0.0136,0.0136,8.6036,9.0676
258,0.0136,0.0136,8.6172,9.0812
259,0.0136,0.0136,8.6307,9.0947
260,0.0136,0.0136,8.6443,9.1083
261,0.0179,0.0179,8.6622,9.1262
262,0.0179,0.0179,8.6801,9.1441
263,0.0179,0.0179,8.6980,9.1620
264,0.0179,0.0179,8.7159,9.1799
265,0.0179,0.0179,8.7338,9.1978
266,0.0179,0.0179,8.7517,9.2157
267,0.0179,0.0179,8.7696,9.2336
268,0.0179,0.0179,8.7875,9.2515
269,0.0179,0.0179,8.8054,9.2694
270,0.0179,0.0179,8.8233,9.2873
271,0.0179,0.0179,8.8412,9.3052
272,0.0292,0.0292,8.8704,9.3344
273,0.0491,0.0491,8.9196,9.3836
274,0.0690,0.0690,8.9885,9.4525
275,0.0889,0.0889,9.0774,9.5414
276,0.1088,0.1088,9.1862,9.6502
277,0.1358,0.1358,9.3220,9.7860
278,0.1594,0.1594,9.4814,9.9454
279,0.2431,0.2431,9.7245,10.1885
280,0.2667,0.2667,9.9912,10.4552
281,0.6131,0.6131,10.6043,11.0683
282,0.6958,0.6958,11.3001,11.7641
283,0.7786,0.7786,12.0787,12.5427
284,1.0813,1.0813,13.1599,13.6239
285,1.0747,1.0747,14.2346,14.6986
286,1.0387,1.0387,15.2734,15.7374
287,0.7104,0.7104,15.9838,16.4478
288,0.6277,0.6277,16.6115,17.0755
289,0.5449,0.5449,17.1565,17.6205
290,0.2169,0.2169,17.3733,17.8373
291,0.1932,0.1932,17.5665,18.0305
292,0.1096,0.1096,17.6761,18.1401
293,0.0859,0.0859,17.7620,18.2260
294,0.0623,0.0623,17.8243,18.2883
295,0.0386,0.0386,17.8630,18.3270
296,0.0150,0.0150,17.8780,18.3420
297,-0.0086,-0.0086,17.8694,18.3334
298,-0.0213,-0.0213,17.8481,18.3121
299,-0.0213,-0.0213,17.8268,18.2908
300,-0.0213,-0.0213,17.8055,18.2695
301,-0.0213,-0.0213,17.7842,18.2482
302,-0.0213,-0.0213,17.7630,18.2270
303,-0.0213,-0.0213,17.7417,18.2057
304,-0.0213,-0.0213,17.7204,18.1844
305,-0.0213,-0.0213,17.6991,18.1631
306,-0.0213,-0.0213,17.6778,18.1418
307,-0.0213,-0.0213,17.6566,18.1206
308,-0.0213,-0.0213,17.6353,18.0993
309,-0.0213,-0.0213,17.6140,18.0780
310,-0.0190,-0.0190,17.5951,18.0591
311,-0.0190,-0.0190,17.5761,18.0401
312,-0.0190,-0.0190,17.5571,18.0211
313,-0.0190,-0.0190,17.5382,18.0022
314,-0.0190,-0.0190,17.5192,17.9832
315,-0.0190,-0.0190,17.5003,17.9643
316,-0.0185,-0.0185,17.4817,17.9457
317,-0.0185,-0.0185,17.4632,17.9272
318,-0.0173,-0.0113,17.4459,17.9159
319,-0.0101,-0.0041,17.4358,17.9118
320,-0.0041,-0.0041,17.4316,17.9076
321,-0.0046,-0.0046,17.4271,17.9031
322,-0.0046,-0.0046,17.4225,17.8985
323,-0.0046,-0.0046,17.4180,17.8940
324,-0.0046,-0.0046,17.4134,17.8894
325,-0.0061,-0.0001,17.4073,17.8893
326,-0.0001,-0.0001,17.4072,17.8892
327,-0.0001,-0.0001,17.4072,17.8892
328,-0.0001,-0.0001,17.4071,17.8891
329,-0.0001,-0.0001,17.4070,17.8890
330,-0.0001,-0.0001,17.4069,17.8889
331,-0.0001,-0.0001,17.4068,17.8888
332,-0.0001,-0.0001,17.4067,17.8887
333,-0.0001,-0.0001,17.4066,17.8886
334,-0.0001,-0.0001,17.4065,17.8885
335,-0.0001,-0.0001,17.4064,17.8884
336,-0.0045,-0.0045,17.4020,17.8840
337,-0.0045,-0.0045,17.3975,17.8795
338,-0.0045,-0.0045,17.3931,17.8751
339,-0.0045,-0.0045,17.3886,17.8706
340,-0.0013,-0.0013,17.3874,17.8694
